step_id,token_id,token_text
0,33413,Okay
1,11,","
2,779, so
3,358, I
4,617, have
5,420, this
6,19463, probability
7,3575, problem
8,1618, here
9,11,","
10,323, and
11,358, I
12,1205, need
13,311, to
14,7216, figure
15,433, it
16,704, out
17,3094, step
18,555, by
19,3094, step
20,13,.
21,6914, Let
22,757, me
23,1373, read
24,433, it
25,1578, again
26,323, and
27,1304, make
28,2771, sure
29,358, I
30,3619, understand
31,382,".

"
32,41,J
33,268,en
34,29933, enters
35,264, a
36,39339, lottery
37,555, by
38,21816, picking
39,220, 
40,19,4
41,12742, distinct
42,5219, numbers
43,505, from
44,279, the
45,743, set
46,328, S
47,284, =
48,314, {
49,16,1
50,11,","
51,17,2
52,11,","
53,18,3
54,29775,",..."
55,11,","
56,24,9
57,11,","
58,605,10
59,7966,}.
60,2100, So
61,11,","
62,328, S
63,706, has
64,5219, numbers
65,505, from
66,220, 
67,16,1
68,311, to
69,220, 
70,605,10
71,11,","
72,902, which
73,374, is
74,220, 
75,605,10
76,5219, numbers
77,304, in
78,2860, total
79,13,.
80,3005, She
81,22657, picks
82,220, 
83,19,4
84,12742, distinct
85,5219, numbers
86,505, from
87,420, this
88,743, set
89,13,.
90,5112, Then
91,11,","
92,220, 
93,19,4
94,5219, numbers
95,527, are
96,27716, randomly
97,12146, chosen
98,505, from
99,328, S
100,13,.
101,3005, She
102,15160, wins
103,264, a
104,22643, prize
105,422, if
106,520, at
107,3325, least
108,1403, two
109,315, of
110,1077, her
111,5219, numbers
112,527, are
113,4315, among
114,279, the
115,27716, randomly
116,12146, chosen
117,5219, numbers
118,13,.
119,3005, She
120,15160, wins
121,279, the
122,6800, grand
123,22643, prize
124,422, if
125,682, all
126,3116, four
127,315, of
128,1077, her
129,5219, numbers
130,527, are
131,279, the
132,27716, randomly
133,12146, chosen
134,5219, numbers
135,13,.
136,578, The
137,3488, question
138,374, is
139,10371, asking
140,369, for
141,279, the
142,19463, probability
143,315, of
144,1077, her
145,11230, winning
146,279, the
147,6800, grand
148,22643, prize
149,2728, given
150,430, that
151,1364, she
152,2834, won
153,264, a
154,22643, prize
155,13,.
156,2435, They
157,6420, mention
158,430, that
159,420, this
160,19463, probability
161,374, is
162,296, m
163,9809,/n
164,1405, where
165,296, m
166,323, and
167,308, n
168,527, are
169,6293, cop
170,81,r
171,547,ime
172,6928, positive
173,26864, integers
174,11,","
175,323, and
176,584, we
177,1205, need
178,311, to
179,1505, find
180,296, m
181,489, +
182,308, n
183,382,".

"
184,72586,Alright
185,11,","
186,779, so
187,420, this
188,374, is
189,264, a
190,35787, conditional
191,19463, probability
192,3575, problem
193,13,.
194,1226, We
195,1205, need
196,311, to
197,1505, find
198,279, the
199,19463, probability
200,430, that
201,1364, she
202,15160, wins
203,279, the
204,6800, grand
205,22643, prize
206,320, (
207,543,all
208,3116, four
209,5219, numbers
210,2489, match
211,8,)
212,2728, given
213,430, that
214,1364, she
215,15160, wins
216,264, a
217,22643, prize
218,320, (
219,266,at
220,3325, least
221,1403, two
222,5219, numbers
223,2489, match
224,570,).
225,2100, So
226,11,","
227,304, in
228,19463, probability
229,3878, terms
230,11,","
231,430, that
232,596,'s
233,393, P
234,6838,(G
235,2116,iven
236,32293, Prize
237,765, |
238,74065, Winning
239,32293, Prize
240,8,)
241,284, =
242,393, P
243,14358,(W
244,258,in
245,10517, Grand
246,32293, Prize
247,323, and
248,12468, Win
249,32293, Prize
250,8,)
251,611, /
252,393, P
253,14358,(W
254,258,in
255,32293, Prize
256,570,).
257,2030, But
258,3604, actually
259,11,","
260,422, if
261,1364, she
262,15160, wins
263,279, the
264,6800, grand
265,22643, prize
266,11,","
267,1364, she
268,9651, automatically
269,15160, wins
270,264, a
271,22643, prize
272,11,","
273,779, so
274,433, it
275,596,'s
276,1120, just
277,393, P
278,14358,(W
279,258,in
280,10517, Grand
281,32293, Prize
282,765, |
283,12468, Win
284,32293, Prize
285,570,).
286,2030, But
287,2533, since
288,11230, winning
289,279, the
290,6800, grand
