step_id,token_id,token_text
0,33413,Okay
1,11,","
2,779, so
3,358, I
4,617, have
5,420, this
6,3575, problem
7,922, about
8,362, A
9,7911,ya
10,596,'s
11,23291, walks
12,323, and
13,1077, her
14,11033, coffee
15,8221, shop
16,18417, stops
17,13,.
18,6914, Let
19,757, me
20,1456, try
21,311, to
22,7216, figure
23,433, it
24,704, out
25,3094, step
26,555, by
27,3094, step
28,13,.
29,4815," 

"
30,5451,First
31,11,","
32,279, the
33,3575, problem
34,2795, says
35,430, that
36,1475, every
37,6693, morning
38,362, A
39,7911,ya
40,5900, goes
41,369, for
42,264, a
43,220, 
44,24,9
45,12934,-k
46,321,il
47,21037,ometer
48,24725,-long
49,4321, walk
50,323, and
51,1243, then
52,18417, stops
53,520, at
54,264, a
55,11033, coffee
56,8221, shop
57,13,.
58,2684, There
59,527, are
60,1403, two
61,26350, scenarios
62,2728, given
63,1473,":

"
64,16,1
65,13,.
66,3277, When
67,1364, she
68,23291, walks
69,520, at
70,264, a
71,6926, constant
72,4732, speed
73,315, of
74,18240, \(
75,274, s
76,1144, \
77,8,)
78,41668, kilometers
79,824, per
80,6596, hour
81,11,","
82,279, the
83,4321, walk
84,5097, takes
85,1077, her
86,220, 
87,19,4
88,4207, hours
89,11,","
90,2737, including
91,18240, \(
92,259, t
93,1144, \
94,8,)
95,4520, minutes
96,7543, spent
97,304, in
98,279, the
99,11033, coffee
100,8221, shop
101,627,".
"
102,17,2
103,13,.
104,3277, When
105,1364, she
106,23291, walks
107,520, at
108,18240, \(
109,274, s
110,489, +
111,220, 
112,17,2
113,1144, \
114,8,)
115,41668, kilometers
116,824, per
117,6596, hour
118,11,","
119,279, the
120,4321, walk
121,5097, takes
122,1077, her
123,220, 
124,17,2
125,4207, hours
126,323, and
127,220, 
128,1187,24
129,4520, minutes
130,11,","
131,2737, including
132,279, the
133,1890, same
134,18240, \(
135,259, t
136,1144, \
137,8,)
138,4520, minutes
139,304, in
140,279, the
141,11033, coffee
142,8221, shop
143,382,".

"
144,1687,We
145,1205, need
146,311, to
147,1505, find
148,279, the
149,1396, number
150,315, of
151,4520, minutes
152,279, the
153,4321, walk
154,5097, takes
155,1077, her
156,994, when
157,1364, she
158,23291, walks
159,520, at
160,18240, \(
161,274, s
162,489, +
163,1144, \
164,38118,frac
165,90,{
166,16,1
167,15523,}{
168,17,2
169,92,}
170,1144, \
171,8,)
172,41668, kilometers
173,824, per
174,6596, hour
175,11,","
176,2737, including
177,279, the
178,18240, \(
179,259, t
180,1144, \
181,8,)
182,4520, minutes
183,304, in
184,279, the
185,11033, coffee
186,8221, shop
187,382,".

"
188,72586,Alright
189,11,","
190,1095, let
191,596,'s
192,1464, break
193,420, this
194,1523, down
195,13,.
196,4815," 

"
197,5451,First
198,11,","
199,1095, let
200,596,'s
201,5296, note
202,430, that
203,279, the
204,2860, total
205,892, time
206,369, for
207,1855, each
208,4321, walk
209,5764, includes
210,2225, both
211,279, the
212,11689, walking
213,892, time
214,323, and
215,279, the
216,11033, coffee
217,8221, shop
218,892, time
219,13,.
220,2100, So
221,11,","
222,369, for
223,1855, each
224,15398, scenario
225,11,","
226,279, the
227,2860, total
228,892, time
229,374, is
230,11689, walking
231,892, time
232,5636, plus
233,18240, \(
234,259, t
235,1144, \
236,8,)
237,4520, minutes
238,13,.
239,4815," 

"
240,4071,But
241,279, the
242,3575, problem
243,34945, mentions
244,430, that
245,304, in
246,279, the
247,1176, first
248,15398, scenario
249,11,","
250,279, the
251,2860, total
252,892, time
253,374, is
254,220, 
255,19,4
256,4207, hours
257,11,","
258,323, and
259,304, in
260,279, the
261,2132, second
262,11,","
263,433, it
264,596,'s
265,220, 
266,17,2
267,4207, hours
268,323, and
269,220, 
270,1187,24
271,4520, minutes
272,13,.
273,8876, Since
274,279, the
275,11033, coffee
276,8221, shop
277,892, time
278,18240, \(
279,259, t
280,1144, \
281,8,)
282,374, is
283,279, the
284,1890, same
285,304, in
286,2225, both
287,5157, cases
288,11,","
289,584, we
